"","scale","prl","lgl","plc"
"1363",3,7,8,7
"1364",3,2,5,2
"1365",4,5,6,6
"1366",3,5,4,5
"1367",5,6,8,7
"1368",2,7,7,8
"1369",6,8,9,8
"1370",8,7,7,9
"1371",6,7,6,5
"1372",7,8,9,9
"1373",9,5,3,7
"1374",8,8,9,9
"1375",7,6,7,7
"1376",5,5,5,8
"1377",5,7,6,6
"1378",1,7,7,7
"1379",8,6,8,9
"1380",5,7,7,7
"1381",5,6,7,7
"1382",3,7,8,8
"1383",5,3,3,8
"1384",5,8,8,8
"1385",5,7,8,8
"1386",7,6,7,8
"1388",6,7,7,7
"1389",5,5,7,7
"1390",7,1,8,7
"1391",5,8,8,10
"1392",6,6,6,7
"1393",6,3,8,8
"1394",4,8,8,7
"1395",3,8,6,8
"1396",5,6,6,7
"1397",6,7,7,7
"1398",7,5,4,3
"1399",5,2,2,5
"1400",8,4,5,7
"1401",5,6,6,5
"1402",9,2,1,0
"1404",6,0,6,8
"1405",6,8,8,8
"1406",8,7,7,7
"1407",6,3,3,8
"1408",7,3,7,5
"1409",5,6,6,6
"1410",5,7,9,9
"1411",1,4,7,5
"1412",5,5,7,8
"1413",4,6,6,7
"1414",4,3,6,8
"1415",5,8,5,8
"1416",7,7,7,8
"1417",0,9,9,8
"1418",6,8,8,8
"1419",7,8,8,7
"1420",8,8,8,7
"1421",3,7,7,6
"1422",4,5,6,7
"1423",5,7,8,8
"1424",3,3,7,4
"1425",5,7,7,8
"1426",3,6,6,6
"1427",5,2,4,4
"1428",7,7,6,6
"1429",4,7,7,8
"1430",3,6,8,9
"1432",5,7,6,8
"1433",6,5,5,6
"1434",7,7,8,8
"1435",7,6,6,7
"1436",10,5,5,7
"1437",7,7,9,8
"1438",4,5,7,7
"1439",4,7,7,7
"1440",7,6,5,6
"1441",5,5,8,6
"1442",3,9,9,7
"1443",7,8,8,8
"1444",4,6,5,7
"1445",2,9,9,10
"1447",0,5,8,8
"1448",5,8,8,8
"1449",3,8,8,8
"1450",5,8,7,10
"1451",3,6,7,7
"1452",6,3,6,3
"1453",10,1,1,2
"1454",7,4,7,8
"1455",7,7,7,6
"1456",5,8,8,9
"1457",5,7,7,8
"1458",5,3,1,5
"1459",4,7,7,8
"1461",2,8,8,8
"1462",3,8,9,8
"1463",6,5,8,8
"1464",5,6,7,9
"1465",1,3,7,8
"1466",5,7,7,7
"1467",3,1,4,1
"1468",5,3,4,4
"1469",2,8,9,8
"1470",3,4,7,7
"1471",3,8,9,7
"1472",2,4,4,6
"1473",5,3,6,3
"1474",2,7,7,8
"1476",10,5,0,6
"1477",5,8,8,7
"1478",6,6,6,7
"1479",8,9,5,8
"1480",6,4,8,7
"1481",6,5,6,7
"1482",5,5,8,4
"1483",7,7,9,9
"1484",7,7,8,8
"1485",4,8,9,9
"1486",2,7,8,8
"1487",6,4,6,6
"1488",4,6,7,7
"1489",3,5,3,3
"1490",3,3,7,7
"1491",5,4,5,6
"1492",8,7,8,8
"1493",6,8,9,7
"1494",4,8,9,8
"1495",5,5,4,8
"1496",5,3,6,8
"1497",4,8,9,8
"1498",8,8,9,7
"1499",7,6,8,8
"1500",4,3,9,9
"1501",7,6,2,7
"1503",3,7,8,8
"1504",8,8,5,6
"1505",2,7,8,7
"1506",3,7,8,9
"1507",8,9,9,9
"1508",7,6,7,7
"1509",5,10,10,7
"1510",5,7,8,8
"1511",4,6,8,7
"1512",8,5,7,5
"1514",5,7,8,8
"1515",5,5,6,8
"1516",8,8,8,7
"1517",0,7,6,8
"1518",7,7,7,6
"1520",8,7,8,8
"1521",6,6,7,4
"1522",6,7,8,7
"1523",7,1,2,8
"1526",5,6,7,7
"1527",8,7,9,7
"1528",8,6,7,4
"1529",4,6,9,7
"1530",8,7,7,7
"1531",7,7,8,7
"1532",5,6,7,7
"1533",5,4,7,7
"1534",10,4,3,7
"1535",6,6,6,4
"1536",5,6,6,5
"1537",7,7,8,8
"1538",3,3,7,9
"1539",7,8,7,7
"1540",4,7,9,8
"1541",5,3,3,7
"1542",5,5,8,8
"1543",5,7,9,9
"1544",5,6,7,7
"1546",5,7,8,8
"1547",6,7,8,7
"1549",6,3,6,9
"1550",3,7,7,7
"1551",4,6,8,9
"1552",8,8,10,9
"1553",5,6,7,8
"1554",6,8,9,7
"1555",3,4,6,7
"1557",3,7,9,6
"1558",5,6,4,7
"1559",4,8,9,9
"1560",8,6,7,9
"1561",3,10,7,10
"1562",3,8,9,8
"1563",2,6,6,8
"1564",5,5,9,10
"1565",3,6,7,6
"1566",4,8,9,8
"1567",2,6,8,7
"1569",3,3,6,6
"1570",6,2,2,6
"1571",7,7,7,6
"1572",4,4,6,5
"1573",5,4,6,7
"1574",2,6,8,7
"1575",4,6,7,7
"1577",7,4,9,8
"1578",6,6,5,7
"1579",7,8,8,8
"1580",3,5,7,7
"1581",7,8,6,9
"1583",1,7,8,8
"1584",3,6,7,7
"1585",5,6,7,7
"1586",6,6,8,8
"1587",5,8,4,6
"1589",5,2,2,8
"1590",5,5,4,7
"1591",5,6,4,4
"1592",3,6,7,8
"1593",3,7,9,8
"1594",5,4,5,8
"1596",6,7,6,8
"1597",1,3,7,7
"1598",2,9,10,9
"1600",3,3,4,8
"1601",6,6,7,8
"1602",2,7,8,8
"1604",7,8,7,7
"1605",9,5,2,6
"1607",5,7,7,7
"1608",5,3,7,7
"1609",5,6,6,6
"1610",2,6,8,8
"1611",3,5,8,5
"1612",4,9,9,8
"1613",6,7,7,6
"1614",7,6,5,6
"1615",7,8,8,7
"1616",6,8,8,7
"1617",3,7,8,7
"1618",3,8,7,8
"1619",4,7,6,7
"1620",5,7,8,8
"1621",7,4,3,7
"1622",2,7,8,8
"1623",8,7,8,9
"1624",8,7,6,9
"1625",5,8,8,9
"1626",5,6,8,6
"1627",9,4,3,8
"1629",2,7,8,8
"1630",5,8,8,8
"1631",3,4,6,7
"1632",5,5,7,8
"1633",5,6,8,8
"1634",2,9,9,10
"1635",6,5,7,8
"1636",5,9,7,7
"1637",6,7,6,6
"1638",5,8,8,8
"1639",7,5,5,7
"1640",6,5,5,6
"1641",6,7,7,7
"1642",8,7,7,7
"1643",4,7,8,8
"1644",4,5,7,8
"1645",6,7,4,7
"1646",5,6,6,7
"1647",3,3,6,5
"1648",5,6,6,8
"1649",6,7,9,6
"1650",8,6,8,8
"1651",8,7,3,4
"1652",7,8,8,7
"1653",6,7,7,6
"1654",4,8,9,7
"1655",7,8,8,8
"1656",8,6,8,9
"1657",5,5,6,8
"1658",6,8,9,8
"1659",7,7,8,9
"1660",6,3,3,7
"1661",6,5,6,8
"1662",4,7,8,9
"1663",5,4,5,7
"1664",2,7,8,7
"1665",4,7,8,7
"1666",5,7,7,7
"1667",5,4,5,5
"1668",5,3,5,7
"1669",4,6,6,7
"1670",5,3,3,4
"1671",5,6,6,7
"1672",3,9,10,9
"1673",7,8,8,8
